@relation Output_Experiment2_50_1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute class1 {class1,class2}

@data
1,2.60898,9.72831,class1
1,5.30605,6.04478,class2
1,1.86485,10.4261,class1
1,2.31577,8.38158,class1
1,2.46282,12.3408,class1
1,1.34514,10.1814,class1
1,4.98953,3.35147,class2
1,5.6039,5.56071,class2
1,3.75015,5.14972,class2
1,6.28431,0.936167,class2
1,5.94321,3.62827,class2
1,2.14442,8.87001,class1
1,5.2875,4.38709,class2
1,7.80934,6.4049,class2
1,5.23227,5.76245,class2
1,4.57351,4.17366,class2
1,2.53991,6.67901,class1
1,6.44745,3.17337,class2
1,3.99215,4.21302,class2
1,1.95131,8.47293,class1
1,5.48346,5.35913,class2
1,5.36114,3.71559,class2
1,3.90446,6.1681,class2
1,2.58925,9.45101,class1
1,2.99178,8.25179,class1
1,1.46012,9.50956,class1
1,2.31786,8.59222,class1
1,2.70321,8.28326,class1
1,1.31156,7.96068,class1
1,3.07887,10.2964,class1
1,3.31296,11.1516,class1
1,-0.0349094,10.1721,class1
1,5.71493,3.8687,class2
1,6.56132,5.65154,class2
1,7.69932,2.79124,class2
1,3.89248,3.08901,class2
1,5.39856,5.18297,class2
1,2.75401,9.72233,class1
1,5.26335,2.97535,class2
1,2.18089,6.92052,class1
1,4.63802,3.65224,class2
1,3.58693,4.61675,class2
1,2.93493,9.48616,class1
1,4.71168,6.25777,class2
1,2.77164,11.2326,class1
1,2.11332,6.02053,class1
1,4.55902,1.02965,class2
1,5.31335,5.7264,class2
1,2.24621,5.76396,class1
1,-0.901797,9.95562,class1
1,4.14537,2.429,class2
1,4.90488,4.58271,class2
1,2.63399,8.12587,class1
1,2.7242,10.4459,class1
1,1.46666,10.6453,class1
1,1.63667,9.23979,class1
1,7.94437,2.81855,class2
1,1.59669,12.3708,class1
1,6.11735,3.90402,class2
1,2.07935,11.2076,class1
1,5.82341,3.51189,class2
1,1.83771,8.44308,class1
1,6.25728,3.3474,class2
1,2.50886,11.5478,class1
1,6.26254,4.93179,class2
1,3.24785,10.5124,class1
1,5.73832,4.58901,class2
1,4.84834,5.17207,class2
1,4.40665,3.89463,class2
1,0.816716,8.24503,class1
1,5.33322,4.04557,class2
1,4.95726,4.08758,class2
1,4.99812,5.44355,class2
1,0.854406,10.3674,class1
1,1.59314,9.41785,class1
1,4.26624,5.31678,class2
1,4.87408,2.5521,class2
1,2.71063,9.60057,class1
1,1.06876,8.78992,class1
1,4.81593,3.60212,class2
1,1.26923,8.13786,class1
1,5.7582,3.42569,class2
1,3.81415,4.55282,class2
1,5.37645,5.73053,class2
1,1.25491,9.34069,class1
1,1.9857,8.42642,class1
1,6.44817,2.74648,class2
1,6.08538,1.7453,class2
1,3.69145,7.37904,class1
1,1.07055,11.0486,class1
1,6.09991,2.86591,class2
1,3.16737,7.68492,class1
1,2.16653,7.60802,class1
1,4.1669,4.29524,class2
1,1.55709,8.6111,class1
1,3.86406,10.1981,class1
1,4.83657,4.14883,class2
1,4.22363,5.41036,class2
1,2.2245,8.06551,class1
1,3.44144,4.21326,class2
1,5.11634,1.2068,class2
1,3.57931,10.9882,class1
1,3.98212,2.7244,class2
1,3.64803,2.78415,class2
1,4.64073,3.88384,class2
1,6.59919,5.26988,class2
1,5.37269,2.23037,class2
1,5.44607,5.26471,class2
1,1.80957,7.38541,class1
1,2.80292,11.1419,class1
1,3.2389,9.89332,class1
1,2.41258,11.5027,class1
1,2.63833,9.93527,class1
1,4.34005,4.71545,class2
1,2.46452,9.24973,class1
1,1.57886,9.51273,class1
1,3.10956,8.73273,class1
1,3.16496,3.54021,class2
1,5.35328,3.92859,class2
1,2.35777,8.22846,class1
1,2.64948,8.45111,class1
1,5.47538,5.54098,class2
1,5.82148,5.12884,class2
1,3.63591,1.62851,class2
1,5.89422,4.00265,class2
1,6.18266,5.05123,class2
1,5.99868,2.99367,class2
1,3.34491,2.35385,class2
1,3.85892,3.25208,class2
1,7.14509,3.73149,class2
1,2.35717,9.82909,class1
1,5.15791,5.28521,class2
1,5.3203,3.80691,class2
1,1.33523,11.043,class1
1,4.36526,6.51685,class2
1,2.22992,11.2382,class1
1,3.23115,8.45365,class1
1,6.56515,4.13762,class2
1,1.90613,11.2881,class1
1,1.20605,7.67634,class1
1,4.0986,3.7291,class2
1,1.53898,8.32934,class1
1,3.33963,10.9804,class1
1,1.32915,10.5806,class1
1,5.20339,3.13265,class2
1,2.69112,6.09753,class2
1,3.52812,2.36055,class2
1,4.87156,4.8536,class2
1,5.20392,3.82899,class2
1,1.80807,10.2035,class1
1,2.80395,11.2483,class1
1,5.6575,5.77613,class2
1,5.9397,2.52538,class2
1,2.51344,7.92258,class1
1,3.71743,6.17161,class2
1,4.55417,4.72131,class2
1,4.05028,5.84818,class2
1,1.28942,5.7271,class1
1,2.63712,5.82646,class1
1,0.0539059,7.75015,class1
1,0.59693,8.91448,class1
1,4.22946,8.82801,class1
1,4.92107,4.58545,class2
1,3.2859,11.3071,class1
1,0.320099,12.6477,class1
1,5.24919,2.56467,class2
1,6.46377,3.26471,class2
1,3.64906,5.50085,class2
1,3.72101,4.22945,class2
1,4.99364,5.21186,class2
1,2.37353,7.86481,class1
1,3.78788,4.44445,class2
1,1.34683,9.87883,class1
1,2.26687,7.92269,class1
1,5.30747,2.07311,class2
1,2.69505,8.80723,class1
1,2.04336,8.68411,class1
1,3.03725,9.33074,class1
1,4.86016,2.74535,class2
1,2.71818,8.39996,class1
1,5.07528,5.59957,class2
1,5.4119,0.379984,class2
1,1.65617,8.0757,class1
1,2.08447,8.35251,class1
1,1.98416,9.49784,class1
1,3.61746,2.7027,class2
1,2.02229,8.81249,class1
1,2.43277,10.1037,class1
1,1.9562,9.6555,class1
1,2.1831,9.30488,class1
1,3.80033,5.10058,class2
1,5.32464,4.24411,class2
1,4.55272,2.51655,class2
1,4.26837,0.226995,class2
1,6.52072,3.61762,class2
1,2.19646,10.6634,class1
1,1.24037,9.18858,class1
1,1.96461,11.1063,class1
1,5.496,5.26227,class2
1,2.56727,8.41315,class1
1,4.68621,2.7033,class2
1,2.99632,7.15659,class1
1,2.34188,8.90762,class1
1,5.49992,1.46518,class2
1,1.73869,7.98427,class1
1,4.52684,3.04569,class2
1,5.88558,4.42069,class2
1,3.2197,3.48214,class2
1,4.69718,4.5062,class2
1,4.88905,4.13084,class2
1,3.26119,3.20593,class2
1,3.45141,3.37296,class2
1,3.0509,8.38819,class1
1,-0.932335,3.57767,class1
1,4.3669,2.86193,class2
1,1.57722,9.76064,class1
1,3.26294,3.26209,class2
1,3.64483,3.05057,class2
1,2.97923,3.04622,class2
1,2.32349,9.73561,class1
1,0.692682,8.79402,class1
1,1.24269,8.52545,class1
1,2.25303,8.83901,class1
1,3.08224,10.1415,class1
1,5.77367,5.18718,class2
1,2.0437,9.67594,class1
1,5.13773,5.0595,class2
1,4.15792,6.12348,class2
1,4.14975,5.35794,class2
1,1.61697,10.7932,class1
1,4.21417,6.41123,class2
1,3.21711,7.50031,class1
1,1.25266,7.04866,class1
1,4.58743,7.36939,class2
1,6.35566,3.17097,class2
1,2.60439,8.8012,class1
1,3.66035,5.26619,class2
1,1.51489,7.15065,class1
1,5.21193,3.27495,class2
1,0.677701,9.53607,class1
1,5.75834,2.54332,class2
1,1.28667,9.82804,class1
1,2.15764,9.04281,class1
1,2.65427,7.51638,class1
1,1.46832,9.14472,class1
1,4.81341,2.15774,class2
1,1.28201,8.20961,class1
1,3.25885,10.1434,class1
1,2.07885,9.18628,class1
1,0.162187,7.71115,class1
1,6.44891,4.80935,class2
1,2.74902,4.02128,class2
1,5.23833,3.89214,class2
1,1.34364,8.3707,class1
1,2.3111,8.59567,class1
1,2.08918,9.21679,class1
1,2.53492,9.27695,class1
1,1.46197,7.75201,class1
1,1.26469,9.29777,class1
1,6.00772,3.59663,class2
1,3.0309,9.93775,class1
1,0.74781,8.16524,class1
1,-0.598137,7.92191,class1
1,5.81005,3.17527,class2
1,4.86507,3.97052,class2
1,1.65597,7.72075,class1
1,1.00969,8.33066,class1
1,1.94989,8.74851,class1
1,5.37932,5.76649,class2
