@relation Output_Experiment2_50_incremental_target

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute class1 {class1,class2}

@data
0,8.23957,7.72755,class2
0,8.31766,9.04818,class2
0,7.43582,7.39757,class2
0,6.98659,9.18367,class2
0,2.19547,2.94412,class1
0,6.36037,8.51236,class2
0,0.803295,3.6658,class1
0,8.32527,9.0696,class2
0,5.77634,8.63494,class2
0,8.25944,6.63772,class2
0,2.4147,3.78609,class1
0,1.94608,4.09534,class1
0,7.53882,9.82572,class2
0,3.04006,4.09539,class1
0,5.72214,9.47138,class2
0,6.61415,10.0118,class2
0,7.72124,7.3328,class2
0,3.50255,2.42521,class1
0,1.50915,1.68572,class1
0,7.20934,10.6237,class2
0,4.79109,5.71095,class2
0,7.24515,8.08419,class2
0,1.83668,3.17423,class1
0,6.84551,5.90526,class2
0,7.49485,7.00983,class2
0,2.09504,2.6428,class1
0,6.54925,7.05151,class2
0,8.14819,9.22041,class2
0,0.783357,5.77132,class1
0,3.20194,1.89855,class1
0,4.20255,4.40647,class1
0,2.00026,0.406876,class1
0,7.33518,10.8197,class2
0,2.55025,-0.674441,class1
0,2.69702,2.43677,class1
0,0.60408,1.3894,class1
0,2.11182,3.47784,class1
0,2.30745,2.67289,class1
0,3.6204,2.94205,class1
0,2.22101,1.1817,class1
0,4.9243,10.9803,class2
0,0.154275,2.93458,class1
0,1.92753,4.47016,class1
0,5.06988,7.61637,class2
0,7.36467,6.72053,class2
0,7.8749,6.88102,class2
0,7.50535,7.52627,class2
0,1.51226,3.30994,class1
0,1.02145,-0.221099,class1
0,0.476637,3.91917,class1
0,2.50072,4.03552,class1
0,2.34176,1.39066,class1
0,6.25198,8.77411,class2
0,0.981961,1.63457,class1
0,6.89217,7.45938,class2
0,0.654502,2.9975,class1
0,5.75232,10.2479,class2
0,2.2043,1.1978,class1
0,2.07491,3.85251,class1
0,3.14925,2.51426,class1
0,1.9448,1.78781,class1
0,7.14998,9.70814,class2
0,1.72871,2.62376,class1
0,7.00186,4.78069,class2
0,7.85459,10.0363,class2
0,1.34443,0.204623,class1
0,1.45526,4.29657,class1
0,7.69814,8.0852,class2
0,3.21605,3.88067,class1
0,1.72593,3.61236,class1
0,7.65388,7.71388,class2
0,3.52029,4.60819,class1
0,0.386159,3.90425,class1
0,1.8277,4.14687,class1
0,7.17511,8.77265,class2
0,6.46196,8.22983,class2
0,8.36381,8.08644,class2
0,6.25797,7.39325,class2
0,5.33013,7.94147,class2
0,6.01854,7.96469,class2
0,0.600747,3.9308,class1
0,1.54509,1.97026,class1
0,9.12348,6.31148,class2
0,2.29071,2.98871,class1
0,5.95101,5.85594,class2
0,4.04679,7.34356,class2
0,6.67764,10.0941,class2
0,7.93138,7.86123,class2
0,8.33838,6.86243,class2
0,3.28568,2.07693,class1
0,4.33328,8.31619,class2
0,6.80246,7.3018,class2
0,6.74599,5.54924,class2
0,6.39029,8.63556,class2
0,2.89414,3.62319,class1
0,2.75384,0.924427,class1
0,1.92866,2.58904,class1
0,3.2437,1.88137,class1
0,7.95694,6.85406,class2
0,3.14122,3.08283,class1
0,3.26839,7.66206,class1
0,7.37194,5.42014,class2
0,0.864887,3.83069,class1
0,2.93552,2.74003,class1
0,6.74196,8.02622,class2
0,3.25891,3.94349,class1
