@relation Output_Experiment2_500_incremental

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute class1 {class1,class2}

@data
1,2.11479,2.63605,class1
1,6.83165,8.48075,class2
1,7.24201,8.15904,class2
1,0.171099,2.60188,class1
1,8.30482,6.57845,class2
1,2.20765,3.18772,class1
1,7.18336,6.9916,class2
1,2.11879,1.96871,class1
1,4.71253,8.11422,class2
1,8.01919,10.0833,class2
1,9.556,8.05715,class2
1,8.69666,8.83815,class2
1,2.8722,1.99707,class1
1,6.57529,8.14422,class2
1,7.48293,9.64553,class2
1,8.02043,8.4633,class2
1,6.9044,10.979,class2
1,2.31886,1.90844,class1
1,2.04733,1.61657,class1
1,6.95745,7.32491,class2
1,6.48418,5.35235,class2
1,1.92688,1.49949,class1
1,1.83988,4.97747,class1
1,6.10874,6.64317,class2
1,7.21083,8.51011,class2
1,2.29644,3.92142,class1
1,3.15541,1.94241,class1
1,6.46663,7.1047,class2
1,6.6193,6.75445,class2
1,8.1849,8.19237,class2
1,7.21889,10.8016,class2
1,2.21132,2.81875,class1
1,8.19131,7.82745,class2
1,1.43356,3.41693,class1
1,7.23572,8.49253,class2
1,7.72346,7.00872,class2
1,6.65744,6.08128,class2
1,6.95411,7.45765,class2
1,0.527766,4.02113,class1
1,5.88468,8.95841,class2
1,9.10402,6.5405,class2
1,3.71126,2.4738,class1
1,2.22233,1.00739,class1
1,7.07772,6.26687,class2
1,1.70238,4.95336,class1
1,6.87716,9.39735,class2
1,6.01505,6.68672,class2
1,2.72219,2.74403,class1
1,1.87228,1.85935,class1
1,2.00418,1.55882,class1
1,8.29964,6.9268,class2
1,3.28394,6.17386,class1
1,6.26856,7.16565,class2
1,0.0922694,4.33424,class1
1,7.58837,11.3333,class2
1,2.10413,2.83847,class1
1,1.83688,1.65755,class1
1,2.19895,3.23728,class1
1,1.73572,1.96588,class1
1,1.00334,0.821133,class1
1,6.89876,6.27142,class2
1,9.91339,8.63639,class2
1,7.30635,8.66983,class2
1,8.36877,7.28941,class2
1,2.55178,3.59708,class1
1,6.54758,7.17262,class2
1,7.43827,9.21781,class2
1,8.27625,9.18284,class2
1,2.41301,4.92996,class1
1,0.928022,1.40205,class1
1,1.95527,2.85331,class1
1,5.26222,4.44493,class2
1,6.32113,6.9629,class2
1,2.3657,2.12218,class1
1,0.731117,0.0716466,class1
1,5.97394,7.00267,class2
1,4.4358,2.90721,class1
1,0.921073,3.81797,class1
1,2.12822,4.8712,class1
1,9.0351,6.79487,class2
1,2.11711,1.00626,class1
1,4.6892,8.89408,class2
1,6.86195,8.81406,class2
1,7.44369,7.16967,class2
1,1.99669,3.6348,class1
1,7.70895,7.16508,class2
1,5.80121,9.55951,class2
1,1.80547,1.88495,class1
1,3.8793,5.10422,class1
1,1.93355,3.79918,class1
1,8.42482,7.55544,class2
1,2.02153,3.27301,class1
1,1.88364,3.85739,class1
1,5.81466,6.94747,class2
1,1.75433,3.95185,class1
1,1.52005,1.61171,class1
1,1.36372,4.13211,class1
1,2.71504,1.34625,class1
1,2.48286,4.115,class1
1,6.82238,7.67558,class2
1,1.50985,4.1833,class1
1,1.50683,2.25347,class1
1,2.68565,2.05862,class1
1,2.56788,1.12065,class1
1,7.17779,7.69716,class2
1,7.93271,9.71866,class2
1,2.54562,0.791205,class1
1,6.68853,9.05543,class2
1,7.66595,9.53931,class2
1,6.92237,9.53142,class2
1,6.83898,6.05118,class2
1,1.19718,2.14006,class1
1,5.68556,5.85673,class2
1,6.7132,7.01374,class2
1,7.51285,9.28446,class2
1,8.30545,8.3232,class2
1,6.85551,6.88729,class2
1,7.10245,6.78427,class2
1,1.9509,4.77836,class1
1,0.252565,1.55924,class1
1,1.52324,2.2869,class1
1,5.61053,5.51534,class2
1,1.88233,2.37298,class1
1,1.48901,4.18032,class1
1,1.75211,3.26674,class1
1,2.19871,4.00545,class1
1,1.57029,2.49321,class1
1,2.02665,3.9278,class1
1,5.50463,6.53663,class2
1,4.47524,5.77075,class1
1,7.16591,9.78922,class2
1,1.89921,4.10835,class1
1,1.27817,1.33214,class1
1,1.72075,0.792497,class1
1,6.7023,7.44376,class2
1,3.35956,2.46077,class1
1,1.10423,3.97553,class1
1,2.33509,2.85605,class1
1,3.53093,4.42477,class1
1,3.21881,2.88582,class1
1,2.7327,1.70365,class1
1,1.05656,1.94732,class1
1,8.96255,9.02924,class2
1,1.61748,4.35262,class1
1,7.05872,7.58615,class2
1,7.84994,7.19833,class2
1,2.84236,5.62833,class1
1,6.48327,6.63436,class2
1,7.46745,7.98365,class2
1,7.4841,5.1991,class2
1,7.58627,7.13496,class2
1,0.333322,3.86264,class1
1,6.17852,8.67609,class2
1,1.80984,1.51272,class1
1,4.80416,8.41187,class2
1,1.08498,4.56856,class1
1,7.7106,5.6505,class2
1,6.49077,6.23088,class2
1,1.60759,2.97087,class1
1,7.33104,8.20065,class2
1,6.05418,6.80885,class2
1,7.72374,8.55309,class2
1,1.68013,0.480008,class1
1,8.1029,11.4175,class2
1,1.2486,3.02855,class1
1,3.2394,1.95295,class1
1,0.134833,1.99117,class1
1,2.44092,2.45305,class1
1,7.98112,6.6729,class2
1,7.37637,6.37715,class2
1,7.32549,8.29037,class2
1,7.63699,7.8202,class2
1,4.75361,8.75413,class2
1,7.69077,9.56456,class2
1,8.08712,8.68176,class2
1,4.28062,7.30544,class2
1,2.52781,2.9261,class1
1,6.47351,8.89434,class2
1,4.20651,3.7273,class1
1,1.8289,3.07787,class1
1,5.74084,7.83042,class2
1,7.35557,6.6231,class2
1,6.70894,5.90217,class2
1,8.58735,8.06661,class2
1,3.13746,5.42951,class1
1,-0.567137,3.84091,class1
1,7.68216,7.54714,class2
1,9.15629,12.0498,class2
1,1.84534,1.21689,class1
1,3.06451,2.19448,class1
1,0.956109,4.04781,class1
1,6.82977,9.86843,class2
1,7.58649,10.218,class2
1,7.31859,8.1353,class2
1,1.41354,1.91664,class1
1,5.86269,9.88558,class2
1,2.11002,4.1893,class1
1,7.48778,7.73136,class2
1,5.97939,7.13819,class2
1,6.90135,8.21589,class2
1,3.21356,1.91431,class1
1,4.55703,11.4364,class2
1,1.97017,2.90651,class1
1,8.86856,9.36388,class2
1,1.40383,3.76113,class1
1,6.62093,6.40273,class2
1,3.14675,0.830191,class1
1,7.41477,7.62952,class2
1,2.5931,2.51264,class1
1,8.28675,8.01643,class2
1,6.40276,8.0736,class2
1,8.63438,10.6429,class2
1,8.24438,7.47783,class2
1,7.22817,10.723,class2
1,1.99883,2.50141,class1
