@relation Output_Experiment2_5000_incremental

@attribute 1 numeric
@attribute 2 numeric
@attribute class1 {class1,class2}

@data
7.61666,9.30034,class2
6.74012,8.76374,class2
1.03369,3.26967,class1
7.76774,7.2284,class2
6.87406,6.29416,class2
5.70698,8.18574,class2
2.54346,3.70929,class1
7.46281,7.15904,class2
6.1363,6.23885,class2
3.40493,4.2536,class1
1.71562,2.98171,class1
7.28987,7.19278,class2
2.01789,5.08373,class1
5.57353,9.33752,class2
1.49446,2.4853,class1
6.61012,10.1906,class2
3.2508,3.79196,class1
2.21808,2.54469,class1
6.23036,7.81112,class2
0.413179,1.94604,class1
1.99387,2.59746,class1
2.23553,2.06462,class1
2.59709,2.85381,class1
1.9274,3.44816,class1
6.38823,9.42123,class2
5.72775,8.30467,class2
9.85836,4.94912,class2
5.82955,8.3164,class2
6.27537,7.93759,class2
3.50919,5.18834,class1
2.36003,2.7012,class1
6.19641,7.77774,class2
1.27688,4.89648,class1
1.70287,4.07506,class1
1.72593,3.94924,class1
6.59485,9.02537,class2
1.58509,3.62121,class1
4.46572,9.77459,class2
7.1833,10.0134,class2
5.03881,7.05175,class2
2.10487,2.79617,class1
7.41882,6.4189,class2
7.42057,10.3325,class2
8.30362,9.03685,class2
0.221316,2.61848,class1
5.06297,5.22495,class2
5.4116,8.72879,class2
1.89281,4.92724,class1
2.70154,1.10248,class1
-0.115382,3.97668,class1
1.59602,4.07801,class1
2.39532,1.54949,class1
3.50084,2.76505,class1
7.17425,9.27984,class2
5.27471,10.3988,class2
2.97074,4.33258,class1
6.50174,7.75701,class2
3.3162,5.18664,class1
1.45226,3.1745,class1
2.02841,5.37916,class1
7.28074,9.96429,class2
4.5318,1.71809,class1
2.3656,2.52766,class1
3.77916,3.52477,class1
0.225548,4.65533,class1
9.39195,5.49965,class2
2.11339,1.29388,class1
1.15207,3.62054,class1
0.601878,6.47785,class1
6.6191,6.25463,class2
1.3428,5.34939,class1
7.75856,8.43533,class2
6.55806,7.76113,class2
1.99243,2.42227,class1
6.08309,10.1503,class2
6.53054,6.6091,class2
0.478032,4.08219,class1
3.6345,0.836048,class1
6.64042,7.19355,class2
5.6872,6.45454,class2
7.07749,9.0033,class2
2.41188,2.78242,class1
0.11775,2.82064,class1
7.69108,7.48253,class2
1.91845,1.0793,class1
6.04481,6.40471,class2
2.42549,4.02791,class1
2.35206,2.57397,class1
7.78021,8.84869,class2
7.48605,10.4811,class2
6.25805,7.84324,class2
1.44338,2.32492,class1
0.651975,2.76667,class1
-0.217119,2.85154,class1
6.63041,5.90524,class2
5.97418,7.63506,class2
7.63186,8.90205,class2
6.44537,8.93303,class2
5.97947,7.51619,class2
2.70675,1.1378,class1
5.80459,7.21279,class2
6.77644,7.03908,class2
1.86017,4.54056,class1
2.47349,0.807472,class1
2.87607,4.39371,class1
6.38522,9.36957,class2
7.97601,9.24872,class2
6.97081,6.7631,class2
2.33294,4.15355,class1
6.26281,6.63183,class2
1.10202,4.53218,class1
7.21781,9.4973,class2
6.43216,7.28751,class2
8.24784,8.01272,class2
1.4893,3.33986,class1
1.55544,4.35081,class1
0.606593,4.49616,class1
1.55074,4.61525,class1
6.29089,10.7268,class2
0.661498,0.629038,class1
5.80699,8.77413,class2
0.164141,2.72499,class1
8.28225,9.27731,class2
6.44429,9.45451,class2
1.38059,3.6113,class1
2.71895,1.24813,class1
6.65344,8.274,class2
3.06699,1.91745,class1
7.80785,9.21609,class2
2.58801,4.93746,class1
5.9231,7.01666,class2
7.56084,6.78191,class2
8.06565,6.10709,class2
6.36696,7.25791,class2
7.28552,7.89507,class2
1.11197,0.889203,class1
1.17641,2.00979,class1
1.95341,1.77927,class1
1.34909,2.91612,class1
2.64915,2.21323,class1
1.65907,2.33403,class1
6.29822,8.7203,class2
1.54649,3.97529,class1
6.58159,10.2802,class2
7.7441,8.93069,class2
8.48775,6.85803,class2
1.67667,1.89926,class1
7.89866,5.588,class2
1.12944,1.99727,class1
6.05471,9.71075,class2
6.8527,7.04314,class2
2.19919,3.39001,class1
0.532544,3.75058,class1
6.29329,8.7389,class2
8.60945,5.35841,class2
0.976489,2.27243,class1
2.96166,3.43637,class1
5.55523,8.79998,class2
10.0954,6.31947,class2
2.47573,3.64369,class1
2.30706,1.69956,class1
2.29297,2.78178,class1
3.85356,4.60984,class1
2.95489,4.66254,class1
2.91216,2.76444,class1
0.47075,1.99708,class1
5.1141,5.86238,class2
6.02789,9.0423,class2
2.67679,3.71747,class1
2.0017,3.66779,class1
7.77071,6.53322,class2
7.98105,7.66326,class2
6.97397,7.23072,class2
2.79527,2.8271,class1
1.44276,2.81063,class1
6.48013,7.62577,class2
1.57362,2.12898,class1
3.39545,2.55193,class1
4.72806,7.43392,class2
1.58829,3.071,class1
-0.465198,2.77577,class1
