@relation Output_Experiment1_50_0

@attribute 1 numeric
@attribute 2 numeric
@attribute class1 {class1,class2}

@data
3.66922,6.65715,class2
7.35519,7.32826,class2
9.03536,10.2756,class2
5.61675,6.95799,class2
2.27219,3.13182,class1
1.38144,3.93452,class1
2.41002,4.77461,class1
7.1318,9.59947,class2
1.43069,3.73187,class1
1.46468,5.34734,class1
4.19762,3.53573,class1
6.82519,10.888,class2
6.46737,7.86979,class2
3.81047,3.9537,class1
2.07251,1.98253,class1
2.91588,5.00237,class1
3.50903,4.17443,class1
7.44597,9.44738,class2
2.87343,3.35477,class1
5.20332,6.77037,class2
7.97504,9.08213,class2
1.77677,3.36361,class1
6.76804,8.58677,class2
9.3015,6.87764,class2
1.86763,3.02318,class1
6.49781,9.18261,class2
7.12534,9.10258,class2
2.93641,0.939718,class1
1.63013,3.36469,class1
-0.10024,1.41742,class1
6.39652,7.8605,class2
7.84597,7.05161,class2
2.51508,0.584244,class1
0.976826,2.31488,class1
1.46034,2.6819,class1
0.151418,3.33337,class1
2.84077,3.33499,class1
6.58354,7.02598,class2
8.97393,7.08228,class2
2.90155,1.74115,class1
2.73377,4.32411,class1
5.77666,5.55977,class2
2.961,2.73699,class1
6.5432,6.1858,class2
8.35969,7.80919,class2
2.66891,4.47454,class1
6.84708,7.04751,class2
-0.391325,3.08099,class1
7.36576,9.03287,class2
2.05877,0.691879,class1
3.84384,1.39994,class1
6.74362,8.33102,class2
5.77447,9.38727,class2
3.39868,4.65537,class1
1.92698,3.30107,class1
5.63863,8.36278,class2
4.66887,6.77629,class2
8.85315,8.18136,class2
5.69186,8.56801,class2
1.61873,4.36085,class1
0.573324,2.45621,class1
1.24047,2.81249,class1
6.74507,7.63379,class2
6.08254,6.82599,class2
7.75609,10.0141,class2
1.80332,4.22454,class1
7.49602,6.58479,class2
2.18007,3.01408,class1
1.58763,5.30744,class1
9.26439,8.95563,class2
-0.0994159,2.67723,class1
-0.271983,3.39807,class1
4.99545,3.03261,class1
4.37149,1.211,class1
2.15456,3.95061,class1
6.05084,10.8119,class2
4.53296,3.69694,class2
7.82537,8.28142,class2
7.71033,7.35812,class2
8.41358,8.09258,class2
3.88903,2.95452,class1
7.41127,7.11153,class2
6.20915,6.59206,class2
3.84387,1.0166,class1
6.70668,4.10319,class1
6.6124,8.07616,class2
1.30783,4.64522,class1
8.92071,7.06849,class2
6.00641,9.12503,class2
-2.1799,3.52399,class1
0.0473053,3.18426,class1
6.51824,8.70817,class2
7.90656,9.08266,class2
1.43859,4.46643,class1
1.4823,2.89375,class1
6.55527,6.51987,class2
8.4255,6.98276,class2
9.8738,9.06858,class2
6.13173,1.03208,class1
7.35331,9.43083,class2
