@relation Output_Experiment2_reoccuring_50_0

@attribute 1 numeric
@attribute 2 numeric
@attribute class1 {class1,class2}

@data
6.51375,8.98498,class2
7.08716,11.0174,class2
6.42609,8.27314,class2
7.13928,7.11604,class2
6.46926,7.1038,class2
8.65329,5.29773,class2
7.8476,5.20931,class2
8.3749,6.83198,class2
2.32293,4.96393,class1
-0.235979,1.45177,class1
7.49795,9.9707,class2
2.64804,3.6179,class1
3.12443,2.99809,class1
6.65769,7.49548,class2
8.69902,9.28976,class2
6.52996,7.21564,class2
2.56296,3.40714,class1
6.63781,8.04299,class2
0.954318,2.83867,class1
2.39689,2.0241,class1
-0.173376,2.52207,class1
8.16603,6.54052,class2
6.98311,7.46616,class2
5.17216,9.38962,class2
3.68494,2.96479,class1
7.66048,6.65613,class2
1.39568,4.5735,class1
1.13287,2.45846,class1
8.11078,6.11788,class2
8.72455,7.91091,class2
8.66832,7.6099,class2
7.09944,7.14726,class2
2.01114,2.5332,class1
4.93178,8.6204,class2
1.12613,2.33679,class1
3.70141,4.29032,class1
2.02223,3.84061,class1
6.18622,7.71224,class2
2.29194,2.43359,class1
2.29218,2.61272,class1
7.70444,7.2176,class2
1.85468,2.76947,class1
8.25795,6.19856,class2
8.38785,8.93803,class2
6.1956,9.02245,class2
6.95496,7.35416,class2
2.14386,4.16756,class1
2.23638,0.890496,class1
2.84382,3.84299,class1
6.86103,7.47132,class2
2.45362,4.75105,class1
0.803704,3.17168,class1
8.65053,8.15901,class2
4.83729,7.66923,class2
1.13816,5.38524,class1
2.68563,3.95255,class1
7.44035,6.64459,class2
2.5225,3.35515,class1
1.94618,2.71606,class1
8.59474,8.06807,class2
1.13978,4.51231,class1
6.27949,9.2025,class2
7.20547,9.51811,class2
2.15483,1.93542,class1
7.31022,8.57482,class2
0.948908,4.83981,class1
2.51964,4.32493,class1
1.60392,2.96782,class1
8.47539,5.81725,class2
7.74748,10.0518,class2
1.80596,2.27818,class1
6.11294,8.36101,class2
1.78345,1.39539,class1
3.40142,4.94032,class1
4.07787,1.09303,class1
0.966638,2.38017,class1
7.70169,7.42413,class2
6.86813,5.87714,class2
2.5469,3.03109,class1
2.16245,3.95243,class1
3.02346,2.73335,class1
5.91193,4.98863,class2
7.3723,7.50469,class2
2.28944,4.16722,class1
3.18767,2.80194,class1
-1.04464,-0.0111584,class1
1.71576,4.36804,class1
3.55261,4.22339,class1
1.66272,3.23296,class1
6.26699,10.6035,class2
8.29052,7.37875,class2
3.70284,2.79461,class1
1.20625,3.12193,class1
0.14898,1.82329,class1
3.88718,3.02268,class1
7.15572,9.91208,class2
5.82825,8.54084,class2
6.5822,7.10501,class2
6.25829,7.46729,class2
7.25835,7.71878,class2
6.16693,3.60482,class2
2.53625,9.37953,class1
0.757108,9.17593,class1
4.42694,3.56898,class2
1.96912,9.97539,class1
2.25227,10.7466,class1
3.05818,4.94459,class2
6.15752,3.38141,class2
4.7605,4.25346,class2
5.34367,4.59625,class2
1.63428,10.7984,class1
1.43474,8.54616,class1
5.14238,4.44725,class2
4.5193,9.34224,class1
4.30978,2.36454,class2
4.2524,4.41074,class2
6.11138,3.80559,class2
6.19527,4.07755,class2
2.74944,12.5262,class1
2.28697,10.1187,class1
0.392325,11.1097,class1
4.9979,3.56628,class2
4.26683,2.61146,class2
5.1756,3.58984,class2
4.27544,5.19099,class2
5.18517,3.15344,class2
5.36286,5.20019,class2
2.17837,10.7083,class1
3.10344,9.03557,class1
2.30655,9.05255,class1
4.31546,4.12386,class2
0.882751,8.52301,class1
3.03562,9.51885,class1
4.66421,5.54457,class2
3.35071,9.33935,class1
1.86299,10.805,class1
3.57707,11.9,class1
0.0269171,9.5428,class1
1.2337,8.92845,class1
1.41796,9.90342,class1
3.82872,3.47084,class2
3.82917,4.8641,class2
2.10298,10.5179,class1
5.49899,3.8289,class2
2.19566,8.01395,class1
6.59758,3.94559,class2
3.09227,7.28817,class1
3.88133,3.30127,class2
5.04481,4.29154,class2
5.4331,2.80265,class2
2.89008,9.50104,class1
5.10439,2.22896,class2
4.95675,3.31137,class2
2.01355,9.88283,class1
1.89994,5.86415,class1
1.35012,9.2378,class1
4.98858,4.13014,class2
1.30592,5.87424,class1
4.27504,2.67985,class2
6.24251,3.16992,class2
0.113562,9.04972,class1
1.49285,9.18313,class1
2.97847,9.14796,class1
4.29907,10.1354,class1
4.90191,2.92777,class2
6.09982,5.39623,class2
3.8074,10.5155,class1
1.81287,6.2117,class1
1.98107,9.10558,class1
1.99738,9.56838,class1
4.77438,3.47685,class2
2.22829,10.6953,class1
6.6568,2.29099,class2
1.6636,8.99448,class1
3.70996,9.45852,class1
3.65773,8.97322,class1
5.4451,4.02287,class2
2.043,7.9581,class1
4.85241,4.06249,class2
5.80189,3.24371,class2
4.5334,2.29425,class2
5.45209,1.62624,class2
4.76698,4.14971,class2
5.92122,5.2104,class2
3.6426,11.1072,class1
4.62404,3.35522,class2
5.77811,4.14421,class2
4.09618,2.52796,class2
0.0959155,10.1735,class1
2.58337,9.09038,class1
4.88685,3.45434,class2
1.55206,8.52796,class1
1.7386,9.98832,class1
5.29609,2.9364,class2
4.49031,8.08997,class2
5.33967,4.0933,class2
6.966,6.39559,class2
1.44494,6.50401,class1
1.01556,8.11931,class1
