@relation Output_Experiment2_reoccuring_50_1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute class1 {class1,class2}

@data
1,2.31412,8.97151,class1
1,6.17971,4.72229,class2
1,4.78785,4.28902,class2
1,1.84494,7.66466,class1
1,5.94376,2.08169,class2
1,2.67357,10.2988,class1
1,3.60053,3.30021,class2
1,1.3207,6.67322,class1
1,3.03798,8.33906,class1
1,2.85532,7.74383,class1
1,3.01364,7.08841,class1
1,4.76844,4.1036,class2
1,4.03023,2.66009,class2
1,2.51426,12.3452,class1
1,2.21025,11.9248,class1
1,6.06519,2.132,class2
1,6.49805,1.29555,class2
1,6.1029,1.3933,class2
1,1.65579,9.72009,class1
1,4.41755,6.63337,class2
1,4.22376,5.88272,class2
1,5.52467,3.77423,class2
1,0.207499,7.73494,class1
1,7.5378,1.69541,class2
1,4.24846,9.83157,class1
1,-0.546659,10.3028,class1
1,7.17083,6.56721,class2
1,2.36346,9.36003,class1
1,1.88117,7.31899,class1
1,1.16023,10.8359,class1
1,2.39189,7.67463,class1
1,1.82024,10.5462,class1
1,6.69933,2.64818,class2
1,2.43677,8.16055,class1
1,5.49067,6.16783,class2
1,5.2927,2.92686,class2
1,2.78832,8.02752,class1
1,1.9403,9.85828,class1
1,6.30467,3.70655,class2
1,5.01076,3.79145,class2
1,-0.215035,8.16333,class1
1,3.98366,5.90684,class2
1,1.61924,9.18383,class1
1,5.5253,5.47992,class2
1,1.9525,8.02961,class1
1,1.30978,7.42668,class1
1,4.97217,4.93013,class2
1,1.2442,5.7597,class1
1,4.04214,1.97162,class2
1,4.99288,3.26007,class2
1,3.63377,3.71568,class2
1,1.04818,7.32314,class1
1,4.22608,3.94707,class2
1,3.16423,9.81751,class1
1,6.63686,3.91519,class2
1,2.63875,8.72629,class1
1,2.90052,6.44525,class1
1,5.95904,5.7209,class2
1,4.57752,5.09098,class2
1,4.85179,5.34708,class2
1,2.50208,10.229,class1
1,1.40176,7.39488,class1
1,6.7041,4.94501,class2
1,6.48597,6.87324,class2
1,5.74372,5.94407,class2
1,0.764633,8.10519,class1
1,4.62881,3.15344,class2
1,4.97412,5.22016,class2
1,2.25775,7.70483,class1
1,0.610527,8.07323,class1
1,4.82338,5.66283,class2
1,4.97539,5.5248,class2
1,1.07726,9.81067,class1
1,3.03487,12.4273,class1
1,2.19806,10.3967,class1
1,6.27033,4.85647,class2
1,1.05679,10.4136,class1
1,5.18981,1.91207,class2
1,4.15788,4.15334,class2
1,5.88192,2.63907,class2
1,3.69083,6.27703,class2
1,5.13816,3.48172,class2
1,4.37119,4.84923,class2
1,1.97868,7.26072,class1
1,0.382391,8.26863,class1
1,4.48375,5.66508,class2
1,1.87347,9.72146,class1
1,5.27613,3.3339,class2
1,1.07385,8.30661,class1
1,3.68795,4.08943,class2
1,1.16408,9.90089,class1
1,1.75758,7.91371,class1
1,3.50694,6.32812,class2
1,1.41978,11.4852,class1
1,1.23871,9.4733,class1
1,6.5425,4.48377,class2
1,2.95548,10.6894,class1
1,3.09004,9.64853,class1
1,1.54401,7.88464,class1
1,2.4134,9.39575,class1
1,6.76949,4.21151,class2
1,2.89098,9.43778,class1
1,-0.0944146,10.2611,class1
1,1.23774,10.2206,class1
1,3.55782,9.07429,class1
1,2.44042,6.0517,class1
1,3.10918,12.4789,class1
1,3.44205,3.72822,class2
1,4.4036,3.37717,class2
1,5.20694,3.87047,class2
1,2.51862,8.64468,class1
1,4.57242,1.38659,class2
1,5.77891,4.93758,class2
1,4.79538,2.69492,class2
1,4.39247,4.39899,class2
1,4.01796,2.04188,class2
1,5.55903,4.43771,class2
1,1.50945,10.1471,class1
1,0.254487,9.1035,class1
1,5.76561,4.44209,class2
1,3.4933,8.12246,class1
1,2.44893,8.75918,class1
1,5.56023,2.76152,class2
1,6.98304,4.95991,class2
1,6.73136,4.89953,class2
1,2.50874,5.39442,class1
1,2.17373,8.71075,class1
1,3.68958,5.15171,class2
1,4.23164,4.42539,class2
1,2.53165,10.0774,class1
1,1.21602,8.85183,class1
1,2.89864,9.30635,class1
1,4.55901,3.61421,class2
1,1.85975,7.97932,class1
1,0.976511,8.03819,class1
1,4.87544,4.39594,class2
1,1.04382,9.08186,class1
1,1.33337,8.93226,class1
1,5.69584,2.96599,class2
1,0.370153,8.45368,class1
1,6.61497,1.84762,class2
1,6.24965,3.3182,class2
1,5.12159,1.83201,class2
1,3.73223,10.2161,class1
1,5.05398,0.259327,class2
1,2.77226,9.35912,class1
1,1.9731,10.0745,class1
1,5.75079,2.776,class2
1,2.39476,6.91327,class1
1,2.73133,7.76317,class1
1,6.11743,4.72445,class2
1,0.452357,10.3042,class1
1,1.29943,10.0826,class1
1,0.338028,8.24747,class1
1,3.59537,4.57592,class2
1,3.19692,9.45995,class1
1,5.82758,5.56485,class2
1,2.09635,8.14292,class1
1,5.54116,5.88079,class2
1,4.53677,4.27606,class2
1,3.14982,5.14995,class2
1,0.530603,9.09499,class1
1,2.27507,7.01248,class1
1,1.09167,9.43117,class1
1,2.94727,10.004,class1
1,1.71721,8.26847,class1
1,1.1868,9.67637,class1
1,6.68489,1.42645,class2
1,1.32415,9.33165,class1
1,3.36749,7.36543,class1
1,5.55539,6.15612,class2
1,4.50325,5.03492,class2
1,4.28752,1.52511,class2
1,2.06207,10.3287,class1
1,1.89567,7.86867,class1
1,6.80597,3.13014,class2
1,1.59285,10.8957,class1
1,3.18142,7.85402,class1
1,1.52991,9.48568,class1
1,4.43639,2.96269,class2
1,5.27563,2.66176,class2
1,1.91825,9.98507,class1
1,5.26823,2.88507,class2
1,5.75505,4.67126,class2
1,1.87403,9.59118,class1
1,3.62595,9.63147,class1
1,1.11809,7.48552,class1
1,4.86451,2.99893,class2
1,0.695876,9.40226,class1
1,5.9721,5.18744,class2
1,-0.930543,8.46123,class1
1,2.52463,7.35371,class1
1,2.29019,11.7315,class1
